Route,Stop,Community,Address,Easting,Northing,Date,Day,Frequency,Start,End,Timetable
I,Turnpike Road (Pre School),Shipham,"Turnpike Road (Pre School), Shipham, BS25 1TX",344465,157663,2017-01-20,Friday,4,14:00,14:30,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
I,May Tree Farm,Stone Allerton,"May Tree Farm, Stone Allerton, BS26 2NJ",340654,151146,2017-01-20,Friday,4,14:50,15:10,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
I,Front Street (Bus shelter),Chapel Allerton,"Front Street (Bus shelter), Chapel Allerton, BS26 2PB",340761,150065,2017-01-20,Friday,4,15:15,15:30,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
J,Merriott School,Merriott,"Merriott School, Merriott, TA16 5PT",344095,112759,2017-01-24,Tuesday,4,9:30,10:00,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
J,West Chinnock School,West Chinnock,"West Chinnock School, West Chinnock, TA18 7PT",346878,113659,2017-01-24,Tuesday,4,10:10,10:40,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
J,Weston Street Playgroup,East Chinnock,"Weston Street Playgroup, East Chinnock, BA22 9EQ",349417,113219,2017-01-24,Tuesday,4,10:50,11:20,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
J,Westbury Gardens,Odcombe,"Westbury Gardens, Odcombe, BA22 8UR",350550,115242,2017-01-24,Tuesday,4,11:35,11:55,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
J,Hill End,Hardington Mandeville,"Hill End, Hardington Mandeville, BA22 9PY",350252,111478,2017-01-24,Tuesday,4,12:10,12:25,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
J,Helyar Arms,East Coker,"Helyar Arms, East Coker, BA22 9JR",354190,112340,2017-01-24,Tuesday,4,12:40,12:55,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
J,Telephone Box Playgroup,Milton,"Telephone Box Playgroup, Milton, TA12 6AL",346845,121658,2017-01-24,Tuesday,4,14:00,14:15,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
J,Chiselborough Village Hall,Chiselborough,"Chiselborough Village Hall, Chiselborough, TA14 6TR",346862,114814,2017-01-24,Tuesday,4,14:35,15:25,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
J,Higher Street Pippins,Norton Sub Hamdon,"Higher Street Pippins, Norton Sub Hamdon, TA14 6SN",346734,115686,2017-01-24,Tuesday,4,15:35,15:55,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
K,Fire Engine,Benter,"Fire Engine, Benter, BA3 5BJ",364426,149382,2017-01-25,Wednesday,4,10:00,10:15,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
K,Stockhill Road No 70,Chilcompton,"Stockhill Road No 70, Chilcompton, BA3 4JH",364251,150696,2017-01-25,Wednesday,4,10:25,10:40,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
K,Red House Farm,Stratton-on-the-Fosse,"Red House Farm, Stratton-on-the-Fosse, BA3 4QE",367387,152440,2017-01-25,Wednesday,4,10:50,11:15,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
K,Bishop Henderson School,Coleford,"Bishop Henderson School, Coleford, BA3 5PN",368251,149658,2017-01-25,Wednesday,4,11:25,12:05,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
K,British Legion Car park,Coleford,"British Legion Car park, Coleford, BA3 5PB",368575,149472,2017-01-25,Wednesday,4,12:10,12:30,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
K,Scotts Close,Holcombe,"Scotts Close, Holcombe, BA3 5DT",367119,149714,2017-01-25,Wednesday,4,13:15,13:30,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
K,Moonshill Road,Stoke St Michael,"Moonshill Road, Stoke St Michael, BA3 5LG",366350,147137,2017-01-25,Wednesday,4,13:40,14:05,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
K,Memorial Hall,Leigh upon Mendip,"Memorial Hall, Leigh upon Mendip, BA3 5QQ",369142,147238,2017-01-25,Wednesday,4,14:15,14:40,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
K,Bullen Mead,Chantry,"Bullen Mead, Chantry, BA11 3LG",371588,146818,2017-01-25,Wednesday,4,14:50,15:05,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
K,Market Place,Nunney,"Market Place, Nunney, BA11 4LY",373647,145598,2017-01-25,Wednesday,4,15:15,15:35,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
L,Next Steps Childcare Centre,Shepton Mallet Showground,"Next Steps Childcare Centre, Shepton Mallet Showground, BA4 6QL",363485,139747,2017-01-26,Thursday,4,10:05,10:25,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
L,North Wootton Church,North Wootton,"North Wootton Church, North Wootton, BA4 4HA",356333,141807,2017-01-26,Thursday,4,10:40,11:10,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
L,Doulting School,Doulting,"Doulting School, Doulting, BA4 4PL",364770,143370,2017-01-26,Thursday,4,11:30,12:00,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
L,Gartons Mead,Evercreech,"Gartons Mead, Evercreech, BA4 6JH",364663,138428,2017-01-26,Thursday,4,12:50,13:20,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
L,Wadehithe,East Lydford,"Wadehithe, East Lydford, TA11 7HD",357402,131179,2017-01-26,Thursday,4,13:40,13:55,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
